 ID,Measurement Type,Reading,Units,Biological Target,n_rep,run_date
CC-501,Inhibition %,82.5,%,EGFR,3,2025-11-10
CC-502,IC50,34,nM,EGFR,3,2025-11-10
CC-503,Inhibition %,45.1,%,EGFR,2,2025-11-11
CC-504,IC50,120,nM,JAK2,3,2025-11-11
CC-505,Inhibition %,91.0,%,JAK2,3,2025-11-12
CC-506,Kd,5.6,nM,JAK2,2,2025-11-12
CC-507,IC50,780,nM,BRAF,4,2025-11-13
CC-508,Inhibition %,12.3,%,BRAF,3,2025-11-13
CC-509,Kd,0.9,nM,BRAF,2,2025-11-14
CC-510,IC50,48,nM,ALK,3,2025-11-14
CC-511,Inhibition %,67.8,%,ALK,3,2025-11-15
CC-512,Kd,3.1,nM,ALK,2,2025-11-15
