Compound Name,Endpoint,Conc (uM),Gene Symbol,# Reps,Experiment Date
HLX-100,EC50,0.045,EGFR,3,03/11/2025
HLX-101,EC50,1.230,EGFR,3,03/11/2025
HLX-102,IC50,0.008,EGFR,2,04/11/2025
HLX-110,EC50,0.560,JAK2,3,04/11/2025
HLX-111,IC50,0.092,JAK2,3,05/11/2025
HLX-112,EC50,2.400,JAK2,2,05/11/2025
HLX-120,IC50,0.017,BRAF,4,06/11/2025
HLX-121,EC50,0.330,BRAF,3,06/11/2025
HLX-122,IC50,0.780,BRAF,2,07/11/2025
HLX-130,EC50,0.210,ALK,3,07/11/2025
HLX-131,IC50,0.004,ALK,3,08/11/2025
HLX-132,EC50,1.900,ALK,2,08/11/2025
