# Pinnacle Labs — assay export v2 (synthetic)
# generated: 2025-06-01; delimiter=';'; decimal=','
Compound;Endpoint;Value;Unit;Target;Replicates;Date
PIN-010;IC50;11,076;uM;EGFR;3;01/01/2025
PIN-011;Ki;28,775;uM;PARP1;3;02/01/2025
PIN-012;IC50;32,378;uM;BTK;3;03/01/2025
PIN-013;EC50;446,2;nM;JAK2;3;04/01/2025
PIN-014;IC50;654,85;nM;KRAS;2;05/01/2025
PIN-015;Ki;6,197;uM;KRAS;3;06/01/2025
PIN-016;Kd;497,8;nM;ALK;3;07/01/2025
PIN-017;EC50;39,579;uM;PARP1;2;08/01/2025
PIN-018;Kd;726,6;nM;EGFR;2;09/01/2025
PIN-019;Ki;22,573;uM;MEK1;3;10/01/2025
PIN-020;Kd;610,92;nM;CDK4;2;11/01/2025
PIN-021;EC50;536,549;nM;BTK;3;12/01/2025
PIN-022;EC50;5,42;uM;CDK4;2;13/01/2025
PIN-023;EC50;710,1;nM;MEK1;3;14/01/2025
